id;numero_tramite;anno;nombre_tramite;descripcion;persona_radica;funcionario
1;deposit turquoise architectures;Movies monitor;architectures;interface Connecticut;Sports Investor;Producer Grass-roots 24/7
2;Saint Martin partnerships Chair;override reboot;Cambridgeshire reboot;networks;New Hampshire Wooden Garden;Associate Architect Auto Loan Account
3;Concrete SDD;parsing budgetary management;Multi-layered deposit;copying Licensed;Locks Fords Clothing;users compressing payment
4;Club;real-time Oklahoma;Massachusetts Tunisian Dinar wireless;Personal Loan Account Generic;expedite;Applications azure navigate
5;Way deposit;Interactions Maine;dynamic Rufiyaa compressing;Wisconsin Burundi Franc;front-end Keyboard initiatives;protocol violet
6;auxiliary;Street Vietnam;Avon;models Pennsylvania Cotton;Panama;Frozen tertiary Liaison
7;instruction set;Agent;multi-byte Intuitive;Cheese Bahamas;Bedfordshire repurpose;Bacon
8;Rubber Metrics system;Branch Unbranded Borders;Computers interactive;Bahrain extranet;Islands Digitized;embrace mint green
9;Russian Federation Hawaii system engine;Alabama;Home Loan Account Illinois;monitor;Games;Creative Brand aggregate
10;matrix Consultant transmit;Berkshire;Jewelery Alabama Intelligent;Home Loan Account Mandatory Incredible;copying Steel;Soft intranet monetize
